Ημερομηνία	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας
Ιανουάριος 2004	4320.3	579.0	3560.7	11.8	4360.8	543.0	3556.2	11.1
Φεβρουάριος 2004	4,345.1	543.7	3,572.0	11.1	4,362.5	531.9	3,566.3	10.9
Μάρτιος 2004	4,306.6	552.0	3,602.9	11.4	4,361.7	528.1	3,571.7	10.8
Απρίλιος 2004	4,408.7	529.4	3,524.4	10.7	4,405.8	521.1	3,535.6	10.6
Μάιος 2004	4,417.2	500.7	3,545.2	10.2	4,379.1	518.7	3,565.4	10.6
Ιούνιος 2004	4,380.7	490.5	3,592.8	10.1	4,374.9	514.4	3,574.6	10.5
Ιούλιος 2004	4,412.9	501.8	3,550.2	10.2	4,383.6	515.0	3,566.3	10.5
Αύγουστος 2004	4,423.5	502.7	3,539.5	10.2	4,371.9	512.9	3,581.0	10.5
Σεπτέμβριος 2004	4,387.2	495.3	3,584.1	10.1	4,391.1	510.7	3,564.8	10.4
Οκτώβριος 2004	4,422.5	489.2	3,555.9	10.0	4,390.7	509.3	3,567.5	10.4
Νοέμβριος 2004	4,408.6	525.5	3,534.3	10.6	4,398.5	511.2	3,558.6	10.4
Δεκέμβριος 2004	4,347.9	529.1	3,592.3	10.8	4,420.9	507.1	3,541.4	10.3
Ιανουάριος 2005	4,369.7	512.2	3,588.3	10.5	4,401.4	500.5	3,568.3	10.2
Φεβρουάριος 2005	4,434.7	516.0	3,520.2	10.4	4,427.7	494.8	3,548.3	10.1
Μάρτιος 2005	4,357.1	522.8	3,591.7	10.7	4,429.5	496.1	3,546.0	10.1
Απρίλιος 2005	4,417.5	491.2	3,563.5	10.0	4,418.0	494.4	3,559.9	10.1
Μάιος 2005	4,481.6	482.3	3,509.1	9.7	4,431.7	494.0	3,547.2	10.0
Ιούνιος 2005	4,445.1	472.1	3,556.6	9.6	4,437.2	494.4	3,542.4	10.0
Ιούλιος 2005	4,448.4	478.7	3,547.5	9.7	4,421.1	498.3	3,555.2	10.1
Αύγουστος 2005	4,454.6	495.5	3,525.3	10.0	4,420.4	500.4	3,554.5	10.2
Σεπτέμβριος 2005	4,455.6	485.4	3,535.2	9.8	4,441.2	501.3	3,533.7	10.1
Οκτώβριος 2005	4,467.3	478.8	3,530.8	9.7	4,439.1	494.9	3,543.0	10.0
Νοέμβριος 2005	4,457.8	501.1	3,518.9	10.1	4,471.6	481.0	3,525.2	9.7
Δεκέμβριος 2005	4,438.8	485.2	3,554.8	9.9	4,491.1	475.9	3,511.8	9.6
